FileName	Sample_name	Gender	Tissue_type	ERCC	SirVs	Treatment	Genotype	Animal ID	Dose	GENEWIZ ID	ERCC	SirVs
	mut_LP1	M	left_quads	MIX2	E1	rAAV8-LP1-hGAAco	HOM	38	e13	JG80-84483-38-LQuad	MIX2	E1
	mut_LNDes	M	left_quads	MIX2	E2	rAAV8-LNDes-hGAAco	HOM	42	e13	JG88-84483-42-LQuad	MIX2	E2
	wt_ctrl	M	left_quads	MIX1	E0	Vehicle	WT	86	zero	JG75-84483-86-LQuad	MIX1	E0
	mut_LDes2	M	left_quads	MIX2	E2	rAAV8-LDes2-hGAAco	HOM	96	e13	JG92-84483-96-LQuad	MIX2	E2
	mut_LDes2	M	left_quads	MIX2	E2	rAAV8-LDes2-hGAAco	HOM	98	e13	JG93-84483-98-LQuad	MIX2	E2
	wt_ctrl	F	liver	MIX1	E0	Vehicle	WT	15	zero	JG97-84483-15-Liver	MIX1	E0
	wt_ctrl	F	liver	MIX1	E0	Vehicle	WT	16	zero	JG98-84483-16-Liver	MIX1	E0
	wt_ctrl	F	liver	MIX1	E0	Vehicle	WT	17	zero	JG99-84483-17-Liver	MIX1	E0
	mut_Des	M	liver	MIX2	E1	rAAV9-Des-hGAAco	HOM	32	e13	JG130-84483-32-Liver	MIX2	E1
	mut_ctrl	M	liver	MIX1	E0	Vehicle	HOM	33	zero	JG125-84483-33-Liver	MIX1	E0
	mut_ctrl	M	liver	MIX1	E0	Vehicle	HOM	34	zero	JG126-84483-34-Liver	MIX1	E0
	mut_Des	M	liver	MIX2	E1	rAAV9-Des-hGAAco	HOM	36	e13	JG131-84483-36-Liver	MIX2	E1
	mut_LP1	M	liver	MIX2	E1	rAAV8-LP1-hGAAco	HOM	37	e13	JG127-84483-37-Liver	MIX2	E1
	mut_LP1	M	liver	MIX2	E1	rAAV8-LP1-hGAAco	HOM	38	e13	JG128-84483-38-Liver	MIX2	E1
	mut_LP1	M	liver	MIX2	E1	rAAV8-LP1-hGAAco	HOM	39	e13	JG129-84483-39-Liver	MIX2	E1
	mut_Des	M	liver	MIX2	E1	rAAV9-Des-hGAAco	HOM	41	e13	JG132-84483-41-Liver	MIX2	E1
